,종목코드,종목명,등락금액,등락률,현재가,과거가격
0,A900300,오가닉티코스메틱,[310],[18.73111782],[1965],1655
1,A006650,대한유화,[21500],[19.28251121],[133000],111500
2,A088130,동아엘텍,[490],[6.56836461],[7950],7460
3,A054800,아이디스홀딩스,[900],[7.59493671],[12750],11850
4,A029460,케이씨,[800],[6.34920635],[13400],12600
5,A023600,삼보판지,[30],[0.33557047],[8970],8940
6,A003240,태광산업,[163000],[16.48129424],[1152000],989000
7,A009970,영원무역홀딩스,[-3050],[-5.98039216],[47950],51000
8,A900280,골든센츄리,[-167],[-21.9160105],[595],762
9,A013120,동원개발,[230],[5.54216867],[4380],4150
10,A101330,모베이스,[-265],[-5.25793651],[4775],5040
11,A016590,신대양제지,[-500],[-0.71633238],[69300],69800
12,A004490,세방전지,[4050],[10.85790885],[41350],37300
13,A093050,LF,[-50],[-0.24154589],[20650],20700
14,A088910,동우팜투테이블,[930],[26.72413793],[4410],3480
15,A016090,대현,[5],[0.20703934],[2420],2415
16,A017890,한국알콜,[400],[5.07614213],[8280],7880
17,A018310,삼목에스폼,[550],[5.82010582],[10000],9450
18,A092440,기신정기,[-25],[-0.67024129],[3705],3730
19,A039010,현대통신,[240],[2.98507463],[8280],8040
20,A900310,컬러레이,[555],[38.81118881],[1985],1430
21,A049070,인탑스,[-2100],[-13.81578947],[13100],15200
22,A010240,흥국,[470],[10.37527594],[5000],4530
23,A007540,샘표,[2900],[6.85579196],[45200],42300
24,A052330,코텍,[200],[1.56862745],[12950],12750
25,A001130,대한제분,[-12000],[-6.66666667],[168000],180000
26,A053610,프로텍,[-300],[-1.64835165],[17900],18200
27,A002170,삼양통상,[2900],[4.92359932],[61800],58900
28,A084110,휴온스글로벌,[3100],[11.65413534],[29700],26600
29,A049430,코메론,[250],[3.21336761],[8030],7780
30,A069510,에스텍,[-200],[-1.67364017],[11750],11950
31,A020000,한섬,[850],[2.85714286],[30600],29750
32,A005930,삼성전자,[5300],[12.07289294],[49200],43900
33,A000480,조선내화,[3500],[4.11764706],[88500],85000
34,A072710,농심홀딩스,[15000],[20.68965517],[87500],72500
35,A036190,금화피에스시,[1200],[4.13793103],[30200],29000
36,A005440,현대그린푸드,[1100],[10.09174312],[12000],10900
37,A004000,롯데정밀화학,[3450],[7.8677309],[47300],43850
38,A109860,동일금속,[150],[1.2987013],[11700],11550
39,A083550,케이엠,[780],[12.16848674],[7190],6410
40,A039340,한국경제TV,[625],[14.58576429],[4910],4285
41,A004970,신라교역,[750],[6.0483871],[13150],12400
42,A004590,한국가구,[195],[4.9744898],[4115],3920
43,A102710,이엔에프테크놀로,[-600],[-2.81690141],[20700],21300
44,A028150,GS홈쇼핑,[4800],[3.0987734],[159700],154900
45,A094840,슈프리마에이치큐,[300],[5.34759358],[5910],5610
46,A079940,가비아,[100],[1.25313283],[8080],7980
47,A015710,코콤,[400],[6.15384615],[6900],6500
48,A221980,케이디켐,[600],[5.15021459],[12250],11650
49,A067920,이글루시큐리티,[435],[10.23529412],[4685],4250
50,A003780,진양산업,[125],[3.88802488],[3340],3215
51,A001560,제일연마,[30],[0.47393365],[6360],6330
52,A036810,에프에스티,[220],[3.1884058],[7120],6900
53,A002290,삼일기업공사,[240],[8.10810811],[3200],2960
54,A241790,오션브릿지,[-100],[-0.95238095],[10400],10500
55,A189690,포시에스,[-140],[-2.23285486],[6130],6270
56,A256940,케이피에스,[3100],[30.54187192],[13250],10150
57,A122310,제노레이,[2100],[13.29113924],[17900],15800
58,A105740,디케이락,[1800],[20.],[10800],9000
59,A192440,슈피겐코리아,[-2200],[-3.78657487],[55900],58100
60,A036830,솔브레인,[2200],[3.10734463],[73000],70800
61,A228850,레이언스,[900],[8.03571429],[12100],11200
62,A203450,유니온커뮤니티,[155],[5.8490566],[2805],2650
63,A243070,휴온스,[750],[1.71624714],[44450],43700
64,A120240,대정화금,[550],[3.98550725],[14350],13800
65,A033270,유나이티드제약,[1700],[9.18918919],[20200],18500
66,A018250,애경산업,[2150],[7.4010327],[31200],29050
67,A036670,KCI,[-90],[-0.91001011],[9800],9890
68,A284740,쿠쿠홈시스,[-5050],[-11.06243154],[40600],45650
69,A033290,코웰패션,[-330],[-5.22979398],[5980],6310
70,A086450,동국제약,[1600],[2.51968504],[65100],63500
71,A064760,티씨케이,[5400],[11.13402062],[53900],48500
72,A100700,세운메디칼,[380],[11.80124224],[3600],3220
73,A119860,다나와,[2750],[13.38199513],[23300],20550
