,종목코드,현재가,종목명,배당률,영업이익,부채비율,ROA,per,psr,pcr,pbr,perRanK,psrRanK,pcrRanK,pbrRanK,totalRank
0,A036530,14900,S&T홀딩스,2.680000066757202,194142000000.0,40.61000061035156,4.360000133514404,4.754901182227441,0.1654709814983453,2.0778134151443313,0.3143327285768533,5,0,4,4,13
1,A900290,2100,GRT,0.0,215771600000.0,20.6299991607666,16.670000076293945,2.4917667570709026,0.40784618372499515,1.8469656992084433,0.24694261523988711,1,20,1,1,23
2,A900280,595,골든센츄리,14.279999732971191,60765800000.0,11.829999923706055,14.989999771118164,3.4752673378775563,0.4061433447098976,2.220149253731343,0.2964623816641754,2,19,6,3,30
3,A009970,47950,영원무역홀딩스,1.659999966621399,553933600000.0,49.630001068115234,8.489999771118164,4.4852690256016245,0.2491983556546459,2.3712971663122495,0.5179248441904927,4,4,9,22,39
4,A002200,19600,수출포장,3.059999942779541,34439400000.0,28.81999969482422,7.699999809265137,8.650557210636654,0.281714433552764,2.1404390084088676,0.328864578264736,23,8,5,6,42
5,A023600,8970,삼보판지,0.5,86773000000.0,49.72999954223633,19.450000762939453,6.3518677468797895,0.3902375358914122,1.9982178658944085,0.4184549356223176,13,17,2,11,43
6,A900300,1965,오가닉티코스메틱,2.740000009536743,114060800000.0,11.069999694824219,19.43000030517578,3.726599980010661,0.42086099807239236,2.227891156462585,0.41675503711558853,3,23,7,10,43
7,A900270,1220,헝셩그룹,4.260000228881836,75730200000.0,24.889999389648438,10.819999694824219,4.897385719303528,0.45778611632270166,2.2676579925650557,0.3710462287104623,6,24,8,7,45
8,A012320,36200,경동인베스트,1.3799999952316284,38444600000.0,48.790000915527344,7.349999904632568,8.462373490165069,0.3550620868234694,2.778630641694811,0.21465207981262416,21,12,16,0,49
9,A029460,13400,케이씨,1.6399999856948853,129169600000.0,37.9900016784668,67.41000366210938,5.343145140032949,0.36923755201014025,2.713099817776878,0.4450940011957749,7,15,15,15,52
10,A054800,12750,아이디스홀딩스,1.559999942779541,87381000000.0,30.899999618530273,10.720000267028809,5.7375033268101765,0.24495206624272348,2.4111195158850225,0.5759067708568589,12,3,10,30,55
11,A003240,1152000,태광산업,0.25999999046325684,677205600000.0,28.459999084472656,7.389999866485596,7.197252710255202,0.4058686063803813,2.992161161124762,0.4044391408617292,16,18,19,9,62
12,A058860,2280,KTis,3.5,30286000000.0,43.060001373291016,4.920000076293945,9.955904642409035,0.17325227963525835,2.641946697566628,0.47929367248265714,30,1,14,19,64
