,종목코드,종목명,등락금액,등락률,현재가,과거가격
0,A900300,오가닉티코스메틱,[-245],[-14.80362538],[1410],1655
1,A006650,대한유화,[5000],[4.48430493],[116500],111500
2,A088130,동아엘텍,[0],[0.],[7460],7460
3,A054800,아이디스홀딩스,[1000],[8.43881857],[12850],11850
4,A029460,케이씨,[550],[4.36507937],[13150],12600
5,A023600,삼보판지,[-890],[-9.95525727],[8050],8940
6,A003240,태광산업,[76000],[7.68452983],[1065000],989000
7,A009970,영원무역홀딩스,[-3550],[-6.96078431],[47450],51000
8,A900280,골든센츄리,[-392],[-51.44356955],[370],762
9,A013120,동원개발,[-10],[-0.24096386],[4140],4150
10,A101330,모베이스,[-690],[-13.69047619],[4350],5040
11,A016590,신대양제지,[-11300],[-16.18911175],[58500],69800
12,A004490,세방전지,[700],[1.8766756],[38000],37300
13,A093050,LF,[-2700],[-13.04347826],[18000],20700
14,A088910,동우팜투테이블,[60],[1.72413793],[3540],3480
15,A016090,대현,[-35],[-1.44927536],[2380],2415
16,A017890,한국알콜,[-580],[-7.36040609],[7300],7880
17,A018310,삼목에스폼,[-740],[-7.83068783],[8710],9450
18,A092440,기신정기,[-90],[-2.41286863],[3640],3730
19,A039010,현대통신,[-630],[-7.8358209],[7410],8040
20,A900310,컬러레이,[295],[20.62937063],[1725],1430
21,A049070,인탑스,[-1650],[-10.85526316],[13550],15200
22,A010240,흥국,[-65],[-1.43487859],[4465],4530
23,A007540,샘표,[-1500],[-3.54609929],[40800],42300
24,A052330,코텍,[-100],[-0.78431373],[12650],12750
25,A001130,대한제분,[-24000],[-13.33333333],[156000],180000
26,A053610,프로텍,[-3800],[-20.87912088],[14400],18200
27,A002170,삼양통상,[11000],[18.67572156],[69900],58900
28,A084110,휴온스글로벌,[5750],[21.61654135],[32350],26600
29,A049430,코메론,[210],[2.69922879],[7990],7780
30,A069510,에스텍,[-500],[-4.18410042],[11450],11950
31,A020000,한섬,[1450],[4.87394958],[31200],29750
32,A005930,삼성전자,[7100],[16.17312073],[51000],43900
33,A000480,조선내화,[1200],[1.41176471],[86200],85000
34,A072710,농심홀딩스,[9600],[13.24137931],[82100],72500
35,A036190,금화피에스시,[-150],[-0.51724138],[28850],29000
36,A005440,현대그린푸드,[400],[3.66972477],[11300],10900
37,A004000,롯데정밀화학,[900],[2.05245154],[44750],43850
38,A109860,동일금속,[0],[0.],[11550],11550
39,A083550,케이엠,[730],[11.38845554],[7140],6410
40,A039340,한국경제TV,[20],[0.46674446],[4305],4285
41,A004970,신라교역,[-250],[-2.01612903],[12150],12400
42,A004590,한국가구,[85],[2.16836735],[4005],3920
43,A102710,이엔에프테크놀로,[1700],[7.98122066],[23000],21300
44,A028150,GS홈쇼핑,[-7800],[-5.03550678],[147100],154900
45,A094840,슈프리마에이치큐,[140],[2.49554367],[5750],5610
46,A079940,가비아,[-620],[-7.76942356],[7360],7980
47,A015710,코콤,[-300],[-4.61538462],[6200],6500
48,A221980,케이디켐,[400],[3.43347639],[12050],11650
49,A067920,이글루시큐리티,[0],[0.],[4250],4250
50,A003780,진양산업,[735],[22.86158631],[3950],3215
51,A001560,제일연마,[20],[0.31595577],[6350],6330
52,A036810,에프에스티,[-310],[-4.49275362],[6590],6900
53,A002290,삼일기업공사,[305],[10.30405405],[3265],2960
54,A241790,오션브릿지,[-1070],[-10.19047619],[9430],10500
55,A189690,포시에스,[-220],[-3.50877193],[6050],6270
56,A256940,케이피에스,[2050],[20.19704433],[12200],10150
57,A122310,제노레이,[5200],[32.91139241],[21000],15800
58,A105740,디케이락,[270],[3.],[9270],9000
59,A192440,슈피겐코리아,[-7800],[-13.42512909],[50300],58100
60,A036830,솔브레인,[-2700],[-3.81355932],[68100],70800
61,A228850,레이언스,[850],[7.58928571],[12050],11200
62,A203450,유니온커뮤니티,[-45],[-1.69811321],[2605],2650
63,A243070,휴온스,[10300],[23.56979405],[54000],43700
64,A120240,대정화금,[1450],[10.50724638],[15250],13800
65,A033270,유나이티드제약,[-300],[-1.62162162],[18200],18500
66,A018250,애경산업,[-2500],[-8.60585198],[26550],29050
67,A036670,KCI,[410],[4.14560162],[10300],9890
68,A284740,쿠쿠홈시스,[50],[0.10952903],[45700],45650
69,A033290,코웰패션,[-970],[-15.37242472],[5340],6310
70,A086450,동국제약,[16200],[25.51181102],[79700],63500
71,A064760,티씨케이,[4100],[8.45360825],[52600],48500
72,A100700,세운메디칼,[-25],[-0.77639752],[3195],3220
73,A119860,다나와,[2650],[12.89537713],[23200],20550
