,종목코드,종목명,등락금액,등락률,현재가,과거가격
0,A900300,오가닉티코스메틱,[-110],[-6.64652568],[1545],1655
1,A006650,대한유화,[1000],[0.89686099],[112500],111500
2,A088130,동아엘텍,[140],[1.8766756],[7600],7460
3,A054800,아이디스홀딩스,[500],[4.21940928],[12350],11850
4,A029460,케이씨,[600],[4.76190476],[13200],12600
5,A023600,삼보판지,[-650],[-7.27069351],[8290],8940
6,A003240,태광산업,[-7000],[-0.70778564],[982000],989000
7,A009970,영원무역홀딩스,[-3200],[-6.2745098],[47800],51000
8,A900280,골든센츄리,[-376],[-49.34383202],[386],762
9,A013120,동원개발,[-50],[-1.20481928],[4100],4150
10,A101330,모베이스,[-840],[-16.66666667],[4200],5040
11,A016590,신대양제지,[-11100],[-15.9025788],[58700],69800
12,A004490,세방전지,[-1200],[-3.21715818],[36100],37300
13,A093050,LF,[-3550],[-17.14975845],[17150],20700
14,A088910,동우팜투테이블,[-75],[-2.15517241],[3405],3480
15,A016090,대현,[25],[1.03519669],[2440],2415
16,A017890,한국알콜,[-580],[-7.36040609],[7300],7880
17,A018310,삼목에스폼,[-1150],[-12.16931217],[8300],9450
18,A092440,기신정기,[25],[0.67024129],[3755],3730
19,A039010,현대통신,[-230],[-2.86069652],[7810],8040
20,A900310,컬러레이,[400],[27.97202797],[1830],1430
21,A049070,인탑스,[-2700],[-17.76315789],[12500],15200
22,A010240,흥국,[-230],[-5.07726269],[4300],4530
23,A007540,샘표,[-2000],[-4.72813239],[40300],42300
24,A052330,코텍,[-300],[-2.35294118],[12450],12750
25,A001130,대한제분,[-25000],[-13.88888889],[155000],180000
26,A053610,프로텍,[-3600],[-19.78021978],[14600],18200
27,A002170,삼양통상,[2700],[4.58404075],[61600],58900
28,A084110,휴온스글로벌,[6050],[22.7443609],[32650],26600
29,A049430,코메론,[130],[1.67095116],[7910],7780
30,A069510,에스텍,[-300],[-2.51046025],[11650],11950
31,A020000,한섬,[800],[2.68907563],[30550],29750
32,A005930,삼성전자,[7300],[16.62870159],[51200],43900
33,A000480,조선내화,[1400],[1.64705882],[86400],85000
34,A072710,농심홀딩스,[1100],[1.51724138],[73600],72500
35,A036190,금화피에스시,[-400],[-1.37931034],[28600],29000
36,A005440,현대그린푸드,[550],[5.04587156],[11450],10900
37,A004000,롯데정밀화학,[-350],[-0.7981756],[43500],43850
38,A109860,동일금속,[50],[0.43290043],[11600],11550
39,A083550,케이엠,[870],[13.5725429],[7280],6410
40,A039340,한국경제TV,[155],[3.61726954],[4440],4285
41,A004970,신라교역,[-850],[-6.85483871],[11550],12400
42,A004590,한국가구,[245],[6.25],[4165],3920
43,A102710,이엔에프테크놀로,[2200],[10.3286385],[23500],21300
44,A028150,GS홈쇼핑,[-5900],[-3.80890897],[149000],154900
45,A094840,슈프리마에이치큐,[110],[1.96078431],[5720],5610
46,A079940,가비아,[-190],[-2.38095238],[7790],7980
47,A015710,코콤,[-150],[-2.30769231],[6350],6500
48,A221980,케이디켐,[950],[8.15450644],[12600],11650
49,A067920,이글루시큐리티,[-20],[-0.47058824],[4230],4250
50,A003780,진양산업,[560],[17.41835148],[3775],3215
51,A001560,제일연마,[470],[7.42496051],[6800],6330
52,A036810,에프에스티,[-660],[-9.56521739],[6240],6900
53,A002290,삼일기업공사,[485],[16.38513514],[3445],2960
54,A241790,오션브릿지,[-1440],[-13.71428571],[9060],10500
55,A189690,포시에스,[-220],[-3.50877193],[6050],6270
56,A256940,케이피에스,[3850],[37.93103448],[14000],10150
57,A122310,제노레이,[5050],[31.96202532],[20850],15800
58,A105740,디케이락,[0],[0.],[9000],9000
59,A192440,슈피겐코리아,[-8550],[-14.71600688],[49550],58100
60,A036830,솔브레인,[900],[1.27118644],[71700],70800
61,A228850,레이언스,[500],[4.46428571],[11700],11200
62,A203450,유니온커뮤니티,[120],[4.52830189],[2770],2650
63,A243070,휴온스,[11400],[26.08695652],[55100],43700
64,A120240,대정화금,[850],[6.15942029],[14650],13800
65,A033270,유나이티드제약,[-500],[-2.7027027],[18000],18500
66,A018250,애경산업,[-3200],[-11.01549053],[25850],29050
67,A036670,KCI,[410],[4.14560162],[10300],9890
68,A284740,쿠쿠홈시스,[-1500],[-3.28587076],[44150],45650
69,A033290,코웰패션,[-990],[-15.68938193],[5320],6310
70,A086450,동국제약,[15900],[25.03937008],[79400],63500
71,A064760,티씨케이,[7100],[14.63917526],[55600],48500
72,A100700,세운메디칼,[-120],[-3.72670807],[3100],3220
73,A119860,다나와,[2700],[13.13868613],[23250],20550
