,종목코드,현재가,종목명,배당률,영업이익,부채비율,ROA,per,psr,pcr,pbr,perRanK,psrRanK,pcrRanK,pbrRanK,totalRank
0,A900300,1450,오가닉티코스메틱,3.7200000286102295,192086200000.0,11.069999694824219,19.43000030517578,1.632895804071297,0.28690146418678275,1.6439909297052153,0.2902902902902903,1,13,1,1,16
1,A036530,15450,S&T홀딩스,2.5799999237060547,346985600000.0,40.61000061035156,4.360000133514404,2.7586192252934993,0.16808276852446175,2.1545112257704644,0.32301902571607777,3,1,7,7,18
2,A900270,1065,헝셩그룹,4.880000114440918,134630200000.0,24.889999389648438,10.819999694824219,2.404809619238477,0.38911216660577275,1.979553903345725,0.30771453337185783,2,27,6,4,39
3,A101330,4240,모베이스,2.3499999046325684,84572800000.0,33.0,9.779999732971191,4.564284557872035,0.2211443175298597,2.641744548286604,0.3566021867115223,11,3,15,10,39
4,A023600,8210,삼보판지,0.550000011920929,132962000000.0,49.72999954223633,19.450000762939453,3.794104029722778,0.36073641196889145,1.8289151258632212,0.3723356009070295,7,20,4,12,43
5,A009970,48200,영원무역홀딩스,1.649999976158142,846856600000.0,49.630001068115234,8.489999771118164,2.94913569867673,0.24415571258516325,2.383660550912418,0.45478562801932365,4,6,12,23,45
6,A002200,19800,수출포장,3.0299999713897705,53146800000.0,28.81999969482422,7.699999809265137,5.662805662805662,0.2886507762956484,2.1622802227803866,0.32576505429417574,19,14,8,8,49
7,A012320,36650,경동인베스트,1.3600000143051147,65398000000.0,48.790000915527344,7.349999904632568,5.036495813480535,0.32509291536939955,2.8131716303346637,0.21432623201033912,15,16,18,0,49
8,A054800,12000,아이디스홀딩스,1.659999966621399,146364600000.0,30.899999618530273,10.720000267028809,3.2238510787444503,0.23275209961789864,2.26928895612708,0.5292171995589857,5,4,9,34,52
9,A003240,1060000,태광산업,0.2800000011920929,951227400000.0,28.459999084472656,7.389999866485596,4.714724575848004,0.3880751108393772,2.7532038461738257,0.3666463858178411,13,25,17,11,66
