,종목코드,현재가,종목명,배당률,영업이익,부채비율,ROA,per,psr,pcr,pbr,perRanK,psrRanK,pcrRanK,pbrRanK,totalRank
0,A036530,15150,S&T홀딩스,2.640000104904175,194142000000.0,40.61000061035156,4.360000133514404,4.834681403405755,0.16824734024831753,2.112676056338028,0.31960676764693474,6,0,5,5,16
1,A900290,2020,GRT,0.0,215771600000.0,20.6299991607666,16.670000076293945,2.3968423091824875,0.39230918624975725,1.7766051011433597,0.23753527751646283,1,19,1,1,22
2,A900280,573,골든센츄리,14.829999923706055,60765800000.0,11.829999923706055,14.989999771118164,3.3467700581577136,0.39112627986348125,2.138059701492537,0.28550074738415543,2,17,7,2,28
3,A900270,1120,헝셩그룹,4.639999866485596,75730200000.0,24.889999389648438,10.819999694824219,4.495960660344222,0.4202626641651032,2.0817843866171004,0.340632603406326,5,24,4,7,40
4,A900300,1895,오가닉티코스메틱,2.8399999141693115,114060800000.0,11.069999694824219,19.43000030517578,3.593845782249467,0.4058684943242664,2.1485260770975056,0.4019088016967126,3,20,8,9,40
5,A009970,48000,영원무역홀딩스,1.659999966621399,553933600000.0,49.630001068115234,8.489999771118164,4.489946052739895,0.2494582079545986,2.3737698432322833,0.5184649118069582,4,4,10,22,40
6,A023600,9010,삼보판지,0.5,86773000000.0,49.72999954223633,19.450000762939453,6.380192686665207,0.3919777255720874,2.007128536422366,0.42032095540212727,12,18,2,11,43
7,A002200,19400,수출포장,3.0899999141693115,34439400000.0,28.81999969482422,7.699999809265137,8.562286218691382,0.27883979647569496,2.1185977940373486,0.3255088172620346,23,8,6,6,43
8,A054800,12500,아이디스홀딩스,1.600000023841858,87381000000.0,30.899999618530273,10.720000267028809,5.625003261578604,0.24014908455168968,2.363842662632375,0.5646144812322147,11,2,9,27,49
9,A012320,35150,경동인베스트,1.4199999570846558,38444600000.0,48.790000915527344,7.349999904632568,8.216917905505584,0.3447633246366008,2.698035001535155,0.20842598357496517,21,12,16,0,49
10,A029460,13300,케이씨,1.649999976158142,129169600000.0,37.9900016784668,67.41000366210938,5.303270922570016,0.3664820478906616,2.6928528042113786,0.44177240417192587,8,14,15,15,52
11,A058860,2230,KTis,3.5799999237060547,30286000000.0,43.060001373291016,4.920000076293945,9.737573400250941,0.16945288753799392,2.5840092699884125,0.4687828463317217,30,1,14,18,63
12,A088130,7880,동아엘텍,1.899999976158142,41648000000.0,38.599998474121094,11.1899995803833,7.846518627737226,0.3345503948373949,2.4897314375987363,0.5337668495563233,17,10,13,24,64
13,A101330,4700,모베이스,2.119999885559082,49020000000.0,33.0,9.779999732971191,8.728952217054264,0.2574637085729937,2.9283489096573208,0.4734085414987913,24,5,18,19,66
