,종목코드,현재가,시가,종목명,총상장주식수,PER,배당률,부채비율,유보율,ROA,순이익증가율,BPS,영업이익,결산년월,분기영업이익,분기ROE,분기유보율,분기부채비율,최근분기년월,SPS,CFPS,per,debt,pbr,roa,psr,pcr,per_rank,pbr_rank,psr_rank,pcr_rank,sum_rank
0,A900300,1655,1680,오가닉티코스메틱,56925000,2.369999885559082,3.259999990463257,11.069999694824219,335.0199890136719,19.43000030517578,1.8799999952316284,4593,61014000000,201812,9690000000,11.199999809265137,347.3299865722656,11.550000190734863,201903,4361,882,2.4306211300309597,11.069999694824219,0.36033093838449815,19.43000030517578,0.37950011465260264,1.8764172335600906,3,1,13,2,19
1,A006650,111500,112000,대한유화,6500000,3.0999999046325684,3.5799999237060547,16.6299991607666,4057.889892578125,16.219999313354492,20.030000686645508,266370,318813000000,201812,56921000000,13.479999542236328,4131.81982421875,20.299999237060547,201903,378019,62323,3.1831397902355896,16.6299991607666,0.41859068213387396,16.219999313354492,0.29495871900618753,1.7890666367151773,10,8,2,0,20
2,A088130,7460,7680,동아엘텍,10913432,3.7899999618530273,2.009999990463257,38.599998474121094,2716.89990234375,11.1899995803833,30.09000015258789,14673,24963000000,201812,7968000000,16.549999237060547,2808.10009765625,39.689998626708984,201903,23821,3165,2.5544114809236946,38.599998474121094,0.5084168200095414,11.1899995803833,0.313169052516687,2.3570300157977884,4,13,4,7,28
3,A054800,11850,11900,아이디스홀딩스,10347756,5.710000038146973,1.6799999475479126,30.899999618530273,4449.56005859375,10.720000267028809,74.25,21467,54750000000,201812,9432000000,5.079999923706055,4472.89013671875,33.9900016784668,201903,52724,5288,3.250130104961832,30.899999618530273,0.5520100619555597,10.720000267028809,0.22475532964115014,2.2409228441754916,11,20,0,5,36
4,A029460,12600,12400,케이씨,13554044,0.8799999952316284,1.7400000095367432,37.9900016784668,5441.52001953125,67.41000366210938,147.69000244140625,30966,76131000000,201812,12849000000,11.90999984741211,6249.22021484375,38.91999816894531,201903,36258,4939,3.322845248657483,37.9900016784668,0.40689788800620036,67.41000366210938,0.34750951514148604,2.5511237092528853,13,6,8,10,37
5,A023600,8940,9310,삼보판지,16170000,2.4200000762939453,0.5,49.72999954223633,4422.39013671875,19.450000762939453,606.1599731445312,20965,53733000000,201812,10952000000,9.270000457763672,4097.3701171875,49.5,201903,23055,4489,3.299849342585829,49.72999954223633,0.42642499403768186,19.450000762939453,0.3877683799609629,1.9915348629984406,12,9,14,3,38
6,A003240,989000,1021000,태광산업,1113400,5.440000057220459,0.30000001192092896,28.459999084472656,60161.44921875,7.389999866485596,39.029998779296875,2791178,331508000000,201812,56625000000,2.8499999046325684,60545.80859375,29.739999771118164,201903,2799468,385006,4.8616008830022075,28.459999084472656,0.3543306804510497,7.389999866485596,0.3532814091820303,2.5687911357225603,20,0,11,11,42
7,A009970,51000,51100,영원무역홀딩스,13635592,7.570000171661377,1.559999942779541,49.630001068115234,16770.3203125,8.489999771118164,29.360000610351562,92345,254901000000,201812,51209000000,6.480000019073486,18442.880859375,54.04999923706055,201903,186200,20221,3.3949852174422466,49.630001068115234,0.5522767881314635,8.489999771118164,0.2738990332975295,2.522130458434301,14,21,1,9,45
8,A900280,762,771,골든센츄리,93400000,3.0799999237060547,11.149999618530273,11.829999923706055,784.3300170898438,14.989999771118164,10.899999618530273,1949,28443000000,201812,6783000000,11.399999618530273,809.780029296875,15.069999694824219,201903,1373,268,2.6231313578062805,11.829999923706055,0.3909697280656747,14.989999771118164,0.5549890750182083,2.843283582089552,5,4,24,12,45
9,A013120,4150,4250,동원개발,90808100,2.75,4.449999809265137,24.799999237060547,1448.9000244140625,18.790000915527344,21.190000534057617,7913,160073000000,201812,40211000000,18.049999237060547,1482.550048828125,28.610000610351562,201903,7272,1790,2.3429758958991322,24.799999237060547,0.5244534310628081,18.790000915527344,0.5706820682068207,2.3184357541899443,1,17,25,6,49
10,A101330,5040,5170,모베이스,23958188,5.059999942779541,1.9800000190734863,33.0,1787.989990234375,9.779999732971191,36.41999816894531,9615,23060000000,201812,5726000000,10.180000305175781,1835.0899658203125,35.029998779296875,201903,17037,1605,5.271972909535452,33.0,0.5241809672386896,9.779999732971191,0.29582673005810883,3.1401869158878504,23,16,3,14,56
11,A016590,69800,71800,신대양제지,4029782,3.4600000381469727,1.0700000524520874,47.439998626708984,1708.300048828125,24.790000915527344,262.3900146484375,93268,116632000000,201812,23525000000,16.09000015258789,1765.3699951171875,45.06999969482422,201903,172723,33704,2.989147540913921,47.439998626708984,0.7483810095638376,24.790000915527344,0.4041152596932661,2.0709708046522666,7,34,15,4,60
12,A004490,37300,38000,세방전지,14000000,5.0,1.340000033378601,29.059999465942383,14084.2197265625,10.319999694824219,44.880001068115234,71632,111281000000,201812,30174000000,10.779999732971191,14382.0400390625,31.43000030517578,201903,83156,11746,4.3265725459004445,29.059999465942383,0.5207169979897253,10.319999694824219,0.44855452402712975,3.1755491231057382,18,15,19,15,67
13,A093050,20700,21800,LF,29240000,7.559999942779541,2.4100000858306885,39.58000183105469,702.530029296875,7.349999904632568,16.280000686645508,40247,119508000000,201812,26024000000,6.75,704.9299926757812,65.08999633789062,201903,58858,6338,5.814517368582846,39.58000183105469,0.5143240489974408,7.349999904632568,0.351693907370281,3.2660145156200695,28,14,10,16,68
