,종목코드,현재가,종목명,배당률,영업이익,부채비율,ROA,per,psr,pcr,pbr,perRanK,psrRanK,pcrRanK,pbrRanK,totalRank
0,A036530,14550,S&T홀딩스,2.740000009536743,194142000000.0,40.61000061035156,4.360000133514404,4.643208872577804,0.16158407924838417,2.0290057174731557,0.3069490738787393,5,0,5,4,14
1,A900280,441,골든센츄리,19.270000457763672,60765800000.0,11.829999923706055,14.989999771118164,2.575786379838659,0.30102389078498293,1.6455223880597014,0.21973094170403587,2,11,1,1,15
2,A900290,1975,GRT,0.0,215771600000.0,20.6299991607666,16.670000076293945,2.343447307245254,0.3835696251699359,1.7370272647317502,0.23224365004703668,1,21,2,2,26
3,A023600,8180,삼보판지,0.550000011920929,86773000000.0,49.72999954223633,19.450000762939453,5.792450186117802,0.3558687896980771,1.8222321229672533,0.3816010449710767,12,15,3,8,38
4,A900300,1795,오가닉티코스메틱,3.0,114060800000.0,11.069999694824219,19.43000030517578,3.404196928304904,0.38445063182694367,2.0351473922902494,0.3806998939554613,3,22,7,7,39
5,A002200,18600,수출포장,3.2200000286102295,34439400000.0,28.81999969482422,7.699999809265137,8.209202250910295,0.2673412481674189,2.0312329365512722,0.31208577325122905,24,9,6,5,44
6,A009970,48500,영원무역홀딩스,1.6399999856948853,553933600000.0,49.630001068115234,8.489999771118164,4.536716324122603,0.2520567309541257,2.3984966124326195,0.5238655879716141,4,7,9,25,45
7,A101330,4150,모베이스,2.4000000953674316,49020000000.0,33.0,9.779999732971191,7.707479085271318,0.2273349767187072,2.5856697819314642,0.41800966962127317,19,2,15,14,50
8,A012320,34750,경동인베스트,1.4299999475479126,38444600000.0,48.790000915527344,7.349999904632568,8.123411016111495,0.3408399866606509,2.667331900521953,0.20605413738919032,23,14,17,0,54
9,A900270,1300,헝셩그룹,4.0,75730200000.0,24.889999389648438,10.819999694824219,5.218525766470972,0.4878048780487805,2.41635687732342,0.3953771289537713,8,29,11,11,59
10,A029460,13650,케이씨,1.6100000143051147,129169600000.0,37.9900016784668,67.41000366210938,5.44283068369028,0.3761263123088369,2.7637173516906257,0.4533979937553976,10,18,18,19,65
