,종목코드,종목명,등락금액,등락률,현재가,과거가격
0,A900300,오가닉티코스메틱,[140],[8.4592145],[1795],1655
1,A006650,대한유화,[10500],[9.41704036],[122000],111500
2,A088130,동아엘텍,[220],[2.94906166],[7680],7460
3,A054800,아이디스홀딩스,[1400],[11.81434599],[13250],11850
4,A029460,케이씨,[1050],[8.33333333],[13650],12600
5,A023600,삼보판지,[-760],[-8.50111857],[8180],8940
6,A003240,태광산업,[130000],[13.1445905],[1119000],989000
7,A009970,영원무역홀딩스,[-2500],[-4.90196078],[48500],51000
8,A900280,골든센츄리,[-321],[-42.12598425],[441],762
9,A013120,동원개발,[230],[5.54216867],[4380],4150
10,A101330,모베이스,[-890],[-17.65873016],[4150],5040
11,A016590,신대양제지,[-6300],[-9.02578797],[63500],69800
12,A004490,세방전지,[1350],[3.61930295],[38650],37300
13,A093050,LF,[-1150],[-5.55555556],[19550],20700
14,A088910,동우팜투테이블,[970],[27.87356322],[4450],3480
15,A016090,대현,[-5],[-0.20703934],[2410],2415
16,A017890,한국알콜,[260],[3.29949239],[8140],7880
17,A018310,삼목에스폼,[-10],[-0.10582011],[9440],9450
18,A092440,기신정기,[-205],[-5.49597855],[3525],3730
19,A039010,현대통신,[-140],[-1.74129353],[7900],8040
20,A900310,컬러레이,[590],[41.25874126],[2020],1430
21,A049070,인탑스,[-3350],[-22.03947368],[11850],15200
22,A010240,흥국,[185],[4.08388521],[4715],4530
23,A007540,샘표,[-1350],[-3.19148936],[40950],42300
24,A052330,코텍,[-350],[-2.74509804],[12400],12750
25,A001130,대한제분,[-15000],[-8.33333333],[165000],180000
26,A053610,프로텍,[-850],[-4.67032967],[17350],18200
27,A002170,삼양통상,[2600],[4.41426146],[61500],58900
28,A084110,휴온스글로벌,[1650],[6.20300752],[28250],26600
29,A049430,코메론,[210],[2.69922879],[7990],7780
30,A069510,에스텍,[-300],[-2.51046025],[11650],11950
31,A020000,한섬,[-200],[-0.67226891],[29550],29750
32,A005930,삼성전자,[5000],[11.38952164],[48900],43900
33,A000480,조선내화,[0],[0.],[85000],85000
34,A072710,농심홀딩스,[16500],[22.75862069],[89000],72500
35,A036190,금화피에스시,[450],[1.55172414],[29450],29000
36,A005440,현대그린푸드,[300],[2.75229358],[11200],10900
37,A004000,롯데정밀화학,[650],[1.48232611],[44500],43850
38,A109860,동일금속,[-50],[-0.43290043],[11500],11550
39,A083550,케이엠,[640],[9.98439938],[7050],6410
40,A039340,한국경제TV,[365],[8.51808635],[4650],4285
41,A004970,신라교역,[550],[4.43548387],[12950],12400
42,A004590,한국가구,[55],[1.40306122],[3975],3920
43,A102710,이엔에프테크놀로,[-150],[-0.70422535],[21150],21300
44,A028150,GS홈쇼핑,[-3000],[-1.93673338],[151900],154900
45,A094840,슈프리마에이치큐,[-170],[-3.03030303],[5440],5610
46,A079940,가비아,[-410],[-5.13784461],[7570],7980
47,A015710,코콤,[-80],[-1.23076923],[6420],6500
48,A221980,케이디켐,[550],[4.72103004],[12200],11650
49,A067920,이글루시큐리티,[130],[3.05882353],[4380],4250
50,A003780,진양산업,[35],[1.08864697],[3250],3215
51,A001560,제일연마,[-10],[-0.15797788],[6320],6330
52,A036810,에프에스티,[-40],[-0.57971014],[6860],6900
53,A002290,삼일기업공사,[255],[8.61486486],[3215],2960
54,A241790,오션브릿지,[-150],[-1.42857143],[10350],10500
55,A189690,포시에스,[-140],[-2.23285486],[6130],6270
56,A256940,케이피에스,[6850],[67.48768473],[17000],10150
57,A122310,제노레이,[750],[4.74683544],[16550],15800
58,A105740,디케이락,[1000],[11.11111111],[10000],9000
59,A192440,슈피겐코리아,[200],[0.34423408],[58300],58100
60,A036830,솔브레인,[19400],[27.40112994],[90200],70800
61,A228850,레이언스,[300],[2.67857143],[11500],11200
62,A203450,유니온커뮤니티,[5],[0.18867925],[2655],2650
63,A243070,휴온스,[-900],[-2.05949657],[42800],43700
64,A120240,대정화금,[-200],[-1.44927536],[13600],13800
65,A033270,유나이티드제약,[900],[4.86486486],[19400],18500
66,A018250,애경산업,[1250],[4.30292599],[30300],29050
67,A036670,KCI,[-520],[-5.2578362],[9370],9890
68,A284740,쿠쿠홈시스,[-4550],[-9.96714129],[41100],45650
69,A033290,코웰패션,[-580],[-9.19175911],[5730],6310
70,A086450,동국제약,[-100],[-0.15748031],[63400],63500
71,A064760,티씨케이,[3500],[7.21649485],[52000],48500
72,A100700,세운메디칼,[170],[5.27950311],[3390],3220
73,A119860,다나와,[2950],[14.35523114],[23500],20550
